pos_x,pos_y,v,theta
3.600986876687238,10.992879160022166,2.0853046990738084,1.2653844713191935
3.631340223722076,11.08625348281408,1.9889079108303667,1.2476147427463622
3.6618729329561046,11.174667617306444,1.89251112258113,1.2289478108720506
3.6924461995635385,11.258136168241638,1.7961143343264752,1.2104284542142665
3.722843451139946,11.336706761111897,1.6997175460669736,1.1928770496720427
3.7528271470212324,11.410443342492684,1.6033207578032065,1.1762935972983333
3.7821748986293846,11.47941259122112,1.5069239695356558,1.1606780970942967
3.810679248108406,11.543682807709846,1.410527181264726,1.1460305490607599
3.8381474217743223,11.603322879277078,1.3141303929907608,1.13235095319841
3.864401065570487,11.65840132040416,1.2177336047140528,1.1196393095079262
3.8892759691892747,11.708985386606468,1.121336816434855,1.1078956180814772
