a,delta
-1.750253605216382,-0.7853981709112001
-1.8786481619618431,-0.7853981709383893
-1.9999719716052404,-0.785398170958865
-2.0000000051583298,-0.7853981709745911
-2.0000000123805988,-0.7853981709869423
-2.0000000148719654,-0.785398166444585
-2.00000001615088,-0.6708053164672919
-2.000000016711447,-0.48790724501139154
-2.000000016946643,-0.39245133839659646
-2.000000017157271,-0.35567049666027517
-2.0000000173415056,-0.3593109881681389
-2.000000017504082,-0.3910750055728868
-2.0000000176508577,-0.44232068443878675
-2.000000017787127,-0.5064913807574554
-2.0000000179170967,-0.5777959723099476
-2.0000000180435946,-0.6499790272747676
-2.0000000181676407,-0.715257483863701
-2.000000018287865,-0.7638998887093862
-2.0000000184002786,-0.7853981689951356
-2.000000018500834,-0.7853981704646426
-2.000000018589338,-0.785398170510483
-2.0000000186678375,-0.785398170526211
-2.0000000187379396,-0.7853981705170067
-2.0000000188009253,-0.7853981704825769
-2.0000000188578277,-0.7853981704173066
-2.0000000189094886,-0.7853981664182368
-2.0000000189544864,-0.7591110680223355
-2.000000018990217,-0.7081953461140291
-2.0000000190158325,-0.6419043974328005
-2.000000019031843,-0.5679579431592802
-2.000000019039182,-0.49162878392558435
-2.0000000190386937,-0.4160007907143165
-2.0000000190309386,-0.34258195983666406
-2.000000019016134,-0.2718726685302526
-2.0000000189941383,-0.20378011426747883
-2.0000000189644243,-0.13788709931360899
-2.000000018926016,-0.07361305415987443
-2.000000018877361,-0.010304089341393118
-2.0000000188478038,0.052719325976145454
-2.0000000188406584,0.11613579263933092
-2.0000000188254443,0.18060064995550196
-2.000000018801247,0.2467121907767188
-2.0000000187665217,0.3149487906789301
-2.0000000187188522,0.38555458576928103
-2.000000018654534,0.4583450391230183
-2.0000000185678717,0.5324002742129453
-2.0000000184499886,0.6056265395585784
-2.0000000182867987,0.6742271644445319
-2.0000000180555606,0.732293752254038
-2.000000017718937,0.7720400092435719
-2.000000017213918,0.7853981695821456
-2.000000016411378,0.785398170361955
-2.0000000149628256,0.7853981704007517
-2.0000000115627556,0.785398170406348
-1.9999999941277038,0.785398169943372
-1.9190405743948593,0.7736621368817703
-1.7661279744669736,0.7307862053080599
-1.6222158133072302,0.6650530700676126
-1.4881246817492149,0.5851826440509523
-1.362972001643521,0.49791965014160633
-1.2452314197804102,0.4074997585392517
-1.1333107099496633,0.31606498570934694
-1.025763739363762,0.22428447006329147
-0.9213186125647278,0.131880869613111
-0.8188305165704701,0.03801033332675798
-0.7172057343538659,-0.05846244892615671
-0.6153107937296579,-0.15872108719783024
-0.5118666534167511,-0.2636916375392377
-0.40532567234589173,-0.3735425138205859
-0.2937461140795077,-0.48679463760735997
-0.17475350210405957,-0.5987749655033795
-0.04591361904998591,-0.6992322790460995
0.09368991229406211,-0.7698463013091802
0.24008168301230198,-0.7853981707454201
0.3880934391630956,-0.7853981709259723
0.5363097826312226,-0.7853981709764456
0.6847408915708879,-0.7853981710113194
0.8333969024803474,-0.7853981710363592
0.9822878968475485,-0.7853981710547322
1.1314238877630816,-0.7853981710683037
1.280814806508258,-0.7853981710782204
1.4304704891027022,-0.7853981710851986
1.5804006627565352,-0.7853981710896737
1.7306149319505557,-0.7853981710918793
1.881122761082736,-0.7853981710918803
1.9999999573741283,-0.7853981710896796
2.0000000090743266,-0.7853981710855423
2.000000014020764,-0.7853981710796443
2.0000000158868403,-0.7853981710717176
2.000000016866765,-0.785398171061349
2.000000017470643,-0.785398171047915
2.0000000178800934,-0.7853981710304672
2.0000000181759963,-0.785398171007525
2.0000000183998345,-0.7853981709766729
2.000000018575078,-0.7853981709337189
2.0000000187160016,-0.7853981708707307
2.0000000188317895,-0.7853981686301093
2.000000018919666,-0.7330042809946496
2.0000000189749434,-0.6406192739788168
2.0000000190007436,-0.5290846553386366
2.000000019001473,-0.4112302319683186
2.000000018979281,-0.29334723532992085
2.000000018933201,-0.17769134001402018
2.0000000188583806,-0.06434285784299228
2.0000000187960603,0.047625251670842035
2.0000000187531866,0.15970554944574625
2.00000001867699,0.2734042581518767
2.000000018552434,0.38932612051975923
2.0000000183474445,0.5062284427547532
2.0000000179867934,0.6194475399375199
2.000000017256215,0.7185821327174662
2.000000015193065,0.7853981681388424
1.9999999971267033,0.7853981710040915
1.7672945857420066,0.7853981710402335
1.4469428132251427,0.7853981710630483
1.126369221565579,0.7853981710774649
0.8055599327573933,0.7853981710863359
0.4845009549785942,0.7853981710911212
0.16317821345636885,0.7853981710925487
-0.1584224205804047,0.7853981710908854
-0.4803151011045266,0.7853981710860285
-0.8025139784952838,0.7853981710774808
-1.1250331706902956,0.7853981710641924
-1.4478867341253618,0.7853981710441698
-1.7710886326092647,0.7853981710135267
-1.999999998870111,0.7853981709653103
-2.0000000152220454,0.7853981708888087
-2.000000017307846,0.7853981701756413
-2.0000000181061175,0.7514317236657405
-2.000000018503328,0.6811423597992592
-2.0000000187283384,0.5985073323279538
-2.000000018868807,0.5205077581097816
-2.0000000189641756,0.45884110782238746
-2.000000019034936,0.423004041340778
